incident_number,area_occ,rpt_dist,dispatch_date,dispatch_time,call_type_code,call_type_text
190525004168,Outside,,2019-05-25T00:00:00.000,17:22:01,006,CODE 6
911100000051,Outside,,2019-11-10T00:00:00.000,02:17:50,006,CODE 6
190824004209,Olympic,2071,2019-08-24T00:00:00.000,16:45:06,9049,REFUSING ID
190913005469,Southwest,0314,2019-09-13T00:00:00.000,19:50:20,507P,PARTY
190104001893,UNK,,2019-01-04T00:00:00.000,10:52:40,006,CODE 6
190305000966,Mission,1959,2019-03-05T00:00:00.000,07:38:24,904AO,AMB OVERTURNED VEH
190809006290,Newton,1362,2019-08-09T00:00:00.000,20:58:39,245SN,SUSP NOW
190827004389,Outside,,2019-08-27T00:00:00.000,16:06:49,006,CODE 6
190305005718,Rampart,,2019-03-05T00:00:00.000,22:41:03,006,CODE 6
190810001373,77th Street,1245,2019-08-10T00:00:00.000,07:58:41,620D,DOM VIOL
001190000312,Outside,,2020-01-19T00:00:00.000,15:10:58,006,CODE 6
190130003473,Hollywood,0677,2019-01-30T00:00:00.000,13:58:38,904Q,BUS
190528002209,West LA,0886,2019-05-28T00:00:00.000,11:22:48,4591I,BFV INVEST
190803002752,Outside,,2019-08-03T00:00:00.000,13:19:22,006,CODE 6
190503001409,UNK,,2019-05-03T00:00:00.000,08:29:54,902,TRAFFIC STOP
190322004312,77th Street,1203,2019-03-22T00:00:00.000,17:35:53,600I,INVEST
190827005706,Outside,,2019-08-27T00:00:00.000,19:32:13,006,CODE 6
190224004365,77th Street,1267,2019-02-24T00:00:00.000,20:00:49,620M,MAN/WMN
191012002597,Newton,1317,2019-10-12T00:00:00.000,16:32:06,5101,CAR
190330005808,Pacific,1488,2019-03-30T00:00:00.000,23:38:59,242A,AMB
190615005436,Topanga,2115,2019-06-15T00:00:00.000,20:05:36,314M,MAN
190309006088,Wilshire,0745,2019-03-09T00:00:00.000,23:59:47,9286,GUN
190810003886,Outside,,2019-08-10T00:00:00.000,16:28:00,006,CODE 6
190124001945,West Valley,1083,2019-01-24T00:00:00.000,10:02:19,415M,MAN
001120000458,Outside,,2020-01-12T00:00:00.000,22:13:54,006,CODE 6
191026004783,Northeast,1138,2019-10-26T00:00:00.000,21:48:53,415M,MAN
912100000060,Outside,,2019-12-10T00:00:00.000,05:37:10,006,CODE 6
190917000376,Newton,1317,2019-09-17T00:00:00.000,02:46:14,906B1,CODE 30 RINGER
191013000642,Van Nuys,0964,2019-10-13T00:00:00.000,02:42:12,507P,PARTY
190124006389,UNK,,2019-01-24T00:00:00.000,21:07:59,006,CODE 6
190219002360,Mission,,2019-02-19T00:00:00.000,11:52:36,006,CODE 6
001180000139,Pacific,1463,2020-01-18T00:00:00.000,09:21:25,594SN,SUSP NOW
190528000549,Mission,1918,2019-05-28T00:00:00.000,04:19:09,006,CODE 6
190413004815,Southwest,0305,2019-04-13T00:00:00.000,21:35:01,906B1,CODE 30 RINGER
190605002867,Outside,,2019-06-05T00:00:00.000,13:07:42,006,CODE 6
190919005477,Outside,,2019-09-19T00:00:00.000,19:22:39,006,CODE 6
190506004674,Pacific,1403,2019-05-06T00:00:00.000,18:33:24,9045,H & R MISD
001060000573,Outside,,2020-01-06T00:00:00.000,23:14:36,006,CODE 6
190513003695,Harbor,0583,2019-05-13T00:00:00.000,15:14:16,5101,CAR
190226003340,UNK,,2019-02-26T00:00:00.000,14:01:39,006,CODE 6
191020005672,Harbor,0528,2019-10-20T00:00:00.000,23:37:27,507R,RADIO
191020002936,Outside,,2019-10-20T00:00:00.000,13:42:49,006,CODE 6
190901005508,Outside,,2019-09-01T00:00:00.000,21:31:46,006,CODE 6
190502004099,West Valley,1075,2019-05-02T00:00:00.000,15:53:16,415M,MAN
190813001782,Northeast,1147,2019-08-13T00:00:00.000,09:33:32,5033I,GTA INVEST
190622000012,West Valley,1033,2019-06-22T00:00:00.000,00:03:07,503P3S,POSS GTA SUSP
190813000460,West Valley,1023,2019-08-13T00:00:00.000,02:55:00,906R,ROBBERY (211 SILENT)
912180000526,Outside,,2019-12-18T00:00:00.000,20:39:24,902,TRAFFIC STOP
001120000435,West LA,0899,2020-01-12T00:00:00.000,21:49:32,484S,SUSP
190517005510,Pacific,1465,2019-05-17T00:00:00.000,20:34:33,620DR,DOM VIOL R/O
190515001244,Devonshire,1797,2019-05-15T00:00:00.000,08:06:31,507R,RADIO
190810002412,Outside,,2019-08-10T00:00:00.000,11:55:48,902,TRAFFIC STOP
190215000495,Mission,1963,2019-02-15T00:00:00.000,03:08:57,620M,MAN/WMN
911280000240,West Valley,1099,2019-11-28T00:00:00.000,18:10:10,906B1,CODE 30 RINGER
912150000239,Outside,,2019-12-15T00:00:00.000,12:36:13,006,CODE 6
190610006168,77th Street,1252,2019-06-10T00:00:00.000,21:31:22,900,UNKNOWN TROUBLE
190101001323,West Valley,1041,2019-01-01T00:00:00.000,03:30:59,620FR,FAMILY R/O
911220000463,Foothill,1698,2019-11-22T00:00:00.000,20:05:18,9073,ATT SUICIDE
190929002283,Topanga,2156,2019-09-29T00:00:00.000,11:38:23,484O,OFCR HLDG
190325001524,Wilshire,0705,2019-03-25T00:00:00.000,09:05:53,415M,MAN
190609003175,Outside,,2019-06-09T00:00:00.000,14:26:31,006,CODE 6
190413001784,Topanga,2105,2019-04-13T00:00:00.000,11:07:36,242J,J/O
001120000230,West Valley,1025,2020-01-12T00:00:00.000,13:29:20,415M,MAN
190125003008,77th Street,1211,2019-01-25T00:00:00.000,14:01:12,006,CODE 6
190430000617,UNK,,2019-04-30T00:00:00.000,05:36:54,006,CODE 6
190929004416,Olympic,2076,2019-09-29T00:00:00.000,18:57:30,594SN,SUSP NOW
190722006265,Pacific,1454,2019-07-22T00:00:00.000,21:39:46,242PSN,POSS SUSP NOW
911090000318,Pacific,1441,2019-11-09T00:00:00.000,16:25:53,990,BACK-UP
190914005177,Outside,,2019-09-14T00:00:00.000,19:34:25,006,CODE 6
190112001549,Rampart,0266,2019-01-12T00:00:00.000,11:00:26,415G,GRP
191012003671,Harbor,0566,2019-10-12T00:00:00.000,20:03:01,006,CODE 6
190613005304,Topanga,2134,2019-06-13T00:00:00.000,18:30:41,006,CODE 6
190710006594,Newton,1333,2019-07-10T00:00:00.000,22:06:45,245A,AMB
190612001495,Outside,,2019-06-12T00:00:00.000,08:26:53,006,CODE 6
190814002403,Pacific,1407,2019-08-14T00:00:00.000,10:44:42,902,TRAFFIC STOP
190924000539,Outside,,2019-09-24T00:00:00.000,03:32:01,006,CODE 6
191020002772,Topanga,2103,2019-10-20T00:00:00.000,13:08:08,620DR,DOM VIOL R/O
190109004123,Newton,1344,2019-01-09T00:00:00.000,16:30:58,620B,BUSN
190319000140,Newton,,2019-03-19T00:00:00.000,00:41:10,006,CODE 6
190804005487,Newton,1323,2019-08-04T00:00:00.000,21:36:28,242SN,SUSP NOW
190314002472,Southeast,1862,2019-03-14T00:00:00.000,12:16:50,904A6,AMB DUI
911300000152,Outside,,2019-11-30T00:00:00.000,10:32:22,902,TRAFFIC STOP
190925004794,Outside,,2019-09-25T00:00:00.000,16:51:53,006,CODE 6
190816005981,Outside,,2019-08-16T00:00:00.000,20:21:22,006,CODE 6
190313005481,Wilshire,0784,2019-03-13T00:00:00.000,19:47:33,904A,AMB
191020000311,Van Nuys,0932,2019-10-20T00:00:00.000,01:05:35,9212N,TRESPASS SUSP NOW
190509000597,Wilshire,,2019-05-09T00:00:00.000,04:54:24,006,CODE 6
190525004613,Devonshire,1728,2019-05-25T00:00:00.000,19:15:20,9212,TRESPASS SUSP
912210000206,Central,0118,2019-12-21T00:00:00.000,13:24:20,9045,H & R MISD
911100000192,Hollenbeck,0478,2019-11-10T00:00:00.000,10:27:16,594SN,SUSP NOW
190730004092,77th Street,1248,2019-07-30T00:00:00.000,15:56:38,006,CODE 6
911170000365,West Valley,1004,2019-11-17T00:00:00.000,19:43:54,415W,WOMAN
190707002440,Southwest,0394,2019-07-07T00:00:00.000,12:04:31,594S,SUSP
190206006008,Southwest,0395,2019-02-06T00:00:00.000,21:39:20,245PS,POSS SUSP
190624000599,Mission,1959,2019-06-24T00:00:00.000,04:47:55,415G,GRP
190913002576,Southeast,1821,2019-09-13T00:00:00.000,12:05:25,211S,SUSP
001190000485,Mission,1961,2020-01-19T00:00:00.000,21:15:20,503P3S,POSS GTA SUSP
912260000085,Outside,,2019-12-26T00:00:00.000,06:31:27,006,CODE 6
190608004944,Southwest,0333,2019-06-08T00:00:00.000,20:43:31,507P,PARTY
190228005665,Pacific,,2019-02-28T00:00:00.000,21:12:58,902,TRAFFIC STOP
190526004022,Central,0156,2019-05-26T00:00:00.000,18:10:43,242SL,SUSP J/L
191007001328,Pacific,1446,2019-10-07T00:00:00.000,08:36:34,921S,SUSP
190828001160,Outside,,2019-08-28T00:00:00.000,07:51:00,006,CODE 6
190630003322,Outside,,2019-06-30T00:00:00.000,14:07:37,006,CODE 6
190928002031,Rampart,0269,2019-09-28T00:00:00.000,11:11:52,242D,DOM VIOL
190916005337,Outside,,2019-09-16T00:00:00.000,19:43:31,902,TRAFFIC STOP
190723006627,Olympic,2093,2019-07-23T00:00:00.000,21:58:57,006,CODE 6
912150000455,Newton,1303,2019-12-15T00:00:00.000,20:56:47,261I,INVEST
191027004605,Pacific,1414,2019-10-27T00:00:00.000,21:10:41,415GF,GROUP FIGHT
190125000585,Hollenbeck,0414,2019-01-25T00:00:00.000,03:39:59,242D,DOM VIOL
190627005351,Mission,1901,2019-06-27T00:00:00.000,18:02:17,006,CODE 6
190722003000,Mission,1982,2019-07-22T00:00:00.000,12:56:59,390M,MAN
190813004026,Outside,,2019-08-13T00:00:00.000,15:19:44,902,TRAFFIC STOP
911110000343,Northeast,1146,2019-11-11T00:00:00.000,16:59:56,620D,DOM VIOL
190427002264,UNK,,2019-04-27T00:00:00.000,12:47:04,006,CODE 6
190325001564,N Hollywood,1555,2019-03-25T00:00:00.000,10:10:40,507R,RADIO
190429000673,UNK,,2019-04-29T00:00:00.000,05:34:14,006,CODE 6
190829001485,Outside,,2019-08-29T00:00:00.000,08:28:56,902,TRAFFIC STOP
190718000042,Outside,,2019-07-18T00:00:00.000,00:09:17,006,CODE 6
191005004165,Outside,,2019-10-05T00:00:00.000,18:01:02,006,CODE 6
190201004599,77th Street,1266,2019-02-01T00:00:00.000,18:32:46,507R,RADIO
912270000164,Hollywood,0621,2019-12-27T00:00:00.000,10:10:28,921C,COMPLAINT
190815004001,Outside,,2019-08-15T00:00:00.000,15:28:49,006,CODE 6
190914001230,Pacific,1412,2019-09-14T00:00:00.000,06:55:13,415G,GRP
190929002045,77th Street,1233,2019-09-29T00:00:00.000,11:00:49,415G,GRP
001230000032,Hollywood,0638,2020-01-23T00:00:00.000,02:04:05,927AI,AMB INVEST
190303005421,Newton,1361,2019-03-03T00:00:00.000,23:45:24,415M,MAN
190316003010,Van Nuys,0923,2019-03-16T00:00:00.000,15:05:05,906B1,CODE 30 RINGER
190505001072,Van Nuys,0985,2019-05-05T00:00:00.000,05:11:29,314M,MAN
190305001367,Pacific,1479,2019-03-05T00:00:00.000,09:06:46,415W,WOMAN
190219004993,Olympic,2036,2019-02-19T00:00:00.000,19:15:41,907A4,AMB SUICIDE
190204004821,UNK,,2019-02-04T00:00:00.000,20:41:48,006,CODE 6
190610004847,Olympic,2038,2019-06-10T00:00:00.000,18:08:22,484TS,ATT SUSP
190912004506,Outside,,2019-09-12T00:00:00.000,16:30:58,006,CODE 6
190126003376,Newton,1307,2019-01-26T00:00:00.000,15:11:46,9049,REFUSING ID
190711006872,Outside,,2019-07-11T00:00:00.000,22:13:26,902,TRAFFIC STOP
190401002808,West LA,0851,2019-04-01T00:00:00.000,13:04:35,9042,COMP OF INJURY
001090000567,Outside,,2020-01-09T00:00:00.000,22:29:23,006,CODE 6
911220000076,77th Street,1209,2019-11-22T00:00:00.000,06:47:17,415M,MAN
001170000026,77th Street,1211,2020-01-17T00:00:00.000,01:59:13,918M,MALE
190618004030,Outside,,2019-06-18T00:00:00.000,14:15:26,006,CODE 6
190725004796,Outside,,2019-07-25T00:00:00.000,17:44:00,006,CODE 6
190909002678,Outside,,2019-09-09T00:00:00.000,12:15:45,006,CODE 6
190120004087,UNK,,2019-01-20T00:00:00.000,18:29:56,006,CODE 6
190409005124,West LA,0809,2019-04-09T00:00:00.000,19:13:29,906B1,CODE 30 RINGER
190824002178,Central,0182,2019-08-24T00:00:00.000,10:40:47,006,CODE 6
190622000097,Olympic,2088,2019-06-22T00:00:00.000,00:16:42,415M8W,MAN ASSLTG WMN
191024001831,Van Nuys,0955,2019-10-24T00:00:00.000,11:06:44,459I,INVEST
190819002846,Outside,,2019-08-19T00:00:00.000,12:10:20,006,CODE 6
191012002939,Pacific,1457,2019-10-12T00:00:00.000,17:38:43,594I,INVEST
190701005067,Southeast,1871,2019-07-01T00:00:00.000,18:31:43,5101,CAR
190815001895,Newton,1309,2019-08-15T00:00:00.000,09:50:29,902,TRAFFIC STOP
001050000234,Outside,,2020-01-05T00:00:00.000,13:29:56,006,CODE 6
190201003492,Van Nuys,,2019-02-01T00:00:00.000,15:20:17,006,CODE 6
191006004302,Devonshire,1764,2019-10-06T00:00:00.000,18:51:19,415G,GRP
191002000068,Pacific,1414,2019-10-02T00:00:00.000,00:21:27,930M,MAN
190914000056,N Hollywood,1521,2019-09-14T00:00:00.000,00:43:24,507P,PARTY
190205004715,Harbor,,2019-02-05T00:00:00.000,18:25:35,902,TRAFFIC STOP
911230000215,Newton,1309,2019-11-23T00:00:00.000,12:13:15,906B1,CODE 30 RINGER
190712004370,N Hollywood,1538,2019-07-12T00:00:00.000,16:47:16,484SN,SUSP NOW
190918001795,Central,0158,2019-09-18T00:00:00.000,10:07:19,245SN,SUSP NOW
911230000467,Van Nuys,0948,2019-11-23T00:00:00.000,22:40:41,390G,GRP
190523006513,Outside,,2019-05-23T00:00:00.000,22:50:39,902,TRAFFIC STOP
190226004319,West LA,0834,2019-02-26T00:00:00.000,16:34:31,50321,RECOVERED STOLEN
190428002714,UNK,,2019-04-28T00:00:00.000,13:20:18,006,CODE 6
190213001802,Hollenbeck,0412,2019-02-13T00:00:00.000,09:55:55,006,CODE 6
190512000051,Harbor,0508,2019-05-12T00:00:00.000,00:10:15,245J,J/O
190425005258,Central,,2019-04-25T00:00:00.000,18:40:46,902,TRAFFIC STOP
190410005020,Southeast,,2019-04-10T00:00:00.000,18:02:45,006,CODE 6
191012000083,Wilshire,0701,2019-10-12T00:00:00.000,00:31:27,242SN,SUSP NOW
191022005818,Wilshire,0767,2019-10-22T00:00:00.000,23:23:30,415GF,GROUP FIGHT
191009006347,Southwest,0311,2019-10-09T00:00:00.000,23:38:51,1101,NARCOTIC ACTIVITY
190329003738,West Valley,1049,2019-03-29T00:00:00.000,15:36:20,904A,AMB
190324004150,Foothill,1602,2019-03-24T00:00:00.000,19:33:56,415M,MAN
190408000947,Devonshire,1777,2019-04-08T00:00:00.000,07:38:02,904A,AMB
911240000135,Southeast,1871,2019-11-24T00:00:00.000,08:48:28,415M,MAN
190116003769,Hollywood,0645,2019-01-16T00:00:00.000,18:46:50,390M,MAN
190709003879,Outside,,2019-07-09T00:00:00.000,14:27:21,006,CODE 6
190317000563,Harbor,,2019-03-17T00:00:00.000,02:06:18,006,CODE 6
190108005763,Southeast,1849,2019-01-08T00:00:00.000,22:10:35,006,CODE 6
190109004048,Van Nuys,,2019-01-09T00:00:00.000,16:05:29,006,CODE 6
190601006199,Foothill,1653,2019-06-01T00:00:00.000,23:25:51,507P,PARTY
190605005090,Outside,,2019-06-05T00:00:00.000,19:13:21,902,TRAFFIC STOP
190621004119,Outside,,2019-06-21T00:00:00.000,15:27:32,006,CODE 6
190530005070,Outside,,2019-05-30T00:00:00.000,18:22:52,006,CODE 6
190126003775,77th Street,1203,2019-01-26T00:00:00.000,16:19:56,006,CODE 6
190827003675,Outside,,2019-08-27T00:00:00.000,14:10:24,006,CODE 6
912060000356,Hollywood,0637,2019-12-06T00:00:00.000,16:27:44,006,CODE 6
190321000065,Newton,,2019-03-21T00:00:00.000,00:15:44,006,CODE 6
190810000905,Olympic,2038,2019-08-10T00:00:00.000,04:43:23,906B1,CODE 30 RINGER
190416001690,N Hollywood,1531,2019-04-16T00:00:00.000,10:01:24,415W,WOMAN
190308000798,Central,0119,2019-03-08T00:00:00.000,06:35:59,415M,MAN
190824002114,Northeast,1143,2019-08-24T00:00:00.000,10:29:23,906B1,CODE 30 RINGER
190206001012,Wilshire,,2019-02-06T00:00:00.000,07:54:16,006,CODE 6
190205001077,West Valley,,2019-02-05T00:00:00.000,08:02:53,006,CODE 6
190212002403,Rampart,,2019-02-12T00:00:00.000,11:30:50,006,CODE 6
190403006482,Olympic,2024,2019-04-03T00:00:00.000,23:50:38,415M,MAN
190623003088,Outside,,2019-06-23T00:00:00.000,13:15:32,006,CODE 6
191005005788,West Valley,1078,2019-10-05T00:00:00.000,22:06:40,006,CODE 6
190831006449,N Hollywood,1515,2019-08-31T00:00:00.000,23:44:51,902,TRAFFIC STOP
191015006464,Outside,,2019-10-15T00:00:00.000,22:24:08,902,TRAFFIC STOP
190523006791,West Valley,1035,2019-05-23T00:00:00.000,23:48:16,902,TRAFFIC STOP
190914006155,Outside,,2019-09-14T00:00:00.000,22:07:57,902,TRAFFIC STOP
190804001005,Outside,,2019-08-04T00:00:00.000,04:44:06,006,CODE 6
190214001766,Devonshire,1749,2019-02-14T00:00:00.000,10:49:20,904A,AMB
190415005642,Van Nuys,,2019-04-15T00:00:00.000,22:38:52,006,CODE 6
912140000527,Outside,,2019-12-14T00:00:00.000,22:38:49,006,CODE 6
190622002093,Wilshire,0734,2019-06-22T00:00:00.000,10:05:05,902,TRAFFIC STOP
190214005602,Foothill,,2019-02-14T00:00:00.000,23:42:38,006,CODE 6
001060000457,Outside,,2020-01-06T00:00:00.000,19:14:27,006,CODE 6
190831005439,77th Street,1205,2019-08-31T00:00:00.000,21:52:21,4151,PARTY
190824000756,Hollenbeck,0424,2019-08-24T00:00:00.000,04:02:13,5101,CAR
190524004711,N Hollywood,1585,2019-05-24T00:00:00.000,18:54:48,459T1S,ATT BFV SUSP
190718000926,Van Nuys,0952,2019-07-18T00:00:00.000,06:29:45,620B,BUSN
190815005973,Van Nuys,0948,2019-08-15T00:00:00.000,20:18:18,918F,FEM
190812005033,77th Street,1218,2019-08-12T00:00:00.000,20:26:47,594S,SUSP
190912005827,N Hollywood,1581,2019-09-12T00:00:00.000,19:48:15,906B1,CODE 30 RINGER
190816006258,Hollenbeck,0401,2019-08-16T00:00:00.000,21:15:20,594SN,SUSP NOW
190825001264,Outside,,2019-08-25T00:00:00.000,06:24:41,006,CODE 6
190702000183,Southwest,0357,2019-07-02T00:00:00.000,00:58:44,246H,HEARD ONLY
190615005065,77th Street,1259,2019-06-15T00:00:00.000,19:44:10,507P,PARTY
190226003750,UNK,,2019-02-26T00:00:00.000,15:01:21,902,TRAFFIC STOP
190227002981,Van Nuys,0939,2019-02-27T00:00:00.000,13:15:12,006,CODE 6
190529004445,Van Nuys,0998,2019-05-29T00:00:00.000,17:27:40,906B1,CODE 30 RINGER
190531001217,Outside,,2019-05-31T00:00:00.000,08:08:58,006,CODE 6
190927005631,Outside,,2019-09-27T00:00:00.000,21:05:51,006,CODE 6
190928004863,Outside,,2019-09-28T00:00:00.000,20:29:00,006,CODE 6
001110000183,Outside,,2020-01-11T00:00:00.000,11:14:03,006,CODE 6
190103003221,West Valley,,2019-01-03T00:00:00.000,14:35:23,006,CODE 6
191018005672,Outside,,2019-10-18T00:00:00.000,21:27:54,006,CODE 6
190909005646,Wilshire,0702,2019-09-09T00:00:00.000,20:01:39,929AM,AMB MAN
190803000982,West LA,0817,2019-08-03T00:00:00.000,06:00:55,261I,INVEST
912170000311,Mission,1913,2019-12-17T00:00:00.000,13:41:25,006,CODE 6
190222001151,Harbor,0585,2019-02-22T00:00:00.000,08:35:49,906B1,CODE 30 RINGER
190515000671,West LA,0813,2019-05-15T00:00:00.000,05:21:25,620D,DOM VIOL
190226004829,West Valley,,2019-02-26T00:00:00.000,17:46:58,006,CODE 6
190921006374,Harbor,0563,2019-09-21T00:00:00.000,23:17:20,006,CODE 6
190901005011,Outside,,2019-09-01T00:00:00.000,20:17:16,902,TRAFFIC STOP
190111005067,Harbor,0522,2019-01-11T00:00:00.000,20:03:48,006,CODE 6
190829001357,Central,0192,2019-08-29T00:00:00.000,08:21:12,620LR,LANDLORD TENANT R/O
190727000002,Harbor,0541,2019-07-27T00:00:00.000,00:33:43,390GV,GRP IN VEH
190109006293,N Hollywood,1525,2019-01-09T00:00:00.000,22:36:11,006,CODE 6
191001001583,Pacific,1409,2019-10-01T00:00:00.000,09:14:21,902,TRAFFIC STOP
191026005257,Wilshire,0723,2019-10-26T00:00:00.000,22:51:59,904A,AMB
190625006120,Pacific,1415,2019-06-25T00:00:00.000,19:35:15,907A2,AMB O/D
190215000036,Central,0156,2019-02-15T00:00:00.000,00:09:55,415M,MAN
190605002990,Van Nuys,0964,2019-06-05T00:00:00.000,13:28:49,484O,OFCR HLDG
191005000275,Outside,,2019-10-05T00:00:00.000,01:05:15,006,CODE 6
912020000186,Pacific,1412,2019-12-02T00:00:00.000,10:51:18,242J,J/O
